NCBI TaxID,Species,Notes,Domain,Phylum,Gram stain (bacteria),BSL level,Application area,Source Niche,Cultivation tags,Genetic tool readiness level,Need day 1,Author,Alternative names,Projects
28187,Acetohalobium arabaticum,Prokaryote that can expand its genetic code from 20 to 21 amino acids under different conditions of growth. Potential source for salt-stable enzymes,Bacteria,Firmicutes,Positive,1,"Basic science, Production",Extreme: salt lake/soil,"Anaerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
920,"Acidithiobacillus
  ferrooxidans",Biomining of metals; remediating mercury in acidic soil,Bacteria,Pseudomonadota,Negative,1,"Bioremediation, Sustainability",Mineral ores,"Acidiphile, Aerobe, Chemoautotrophe",Unreviewed,No,Zaira Martín Moldes,,
5044,Acremonium chrysogenum,β-lactam antibiotics (cephalosporins),Eukarya,Ascomycota,,1,"Bioremediation, Production",Soil,"Aerobe, Filamentous, Mesophile",Unreviewed,No,Charlie Gilbert,,
358,Agrobacterium tumefaciens,Widely used for plant and fungal transformation,Bacteria,Pseudomonadota,,1,Basic science,Soil,"Aerobe, Mesophile",Level 2,No,Charlie Gilbert,,
1973307,Agrocybe aegerita,"Edible fungus, grows on LCM",Eukarya,Basidiomycota,,1,"Food, Materials",Plant biomass,"Aerobe, Filamentous, Mesophile",Level 3,No,Charlie Gilbert,,
511,Alcaligenes faecalis,"Production of nonstandard amino acids, enzymes to degrade organic contaminants and R
 -(−)-mandelic acid, an important precursor to various drugs",Bacteria,Pseudomonadota,Negative,1,"Bioremediation, Production","Aquatic: freshwater, Soil","Aerobe, Alkaliphile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
405212,Alicyclobacillus acidocaldarius,Thermo and pH-stable enzymes (amylases),Bacteria,Bacillota,Positive,1,Production,"Extreme: hot spring, Tree/Fruit/food","Acidiphile, Aerobe, Thermophile",Unreviewed,yes,Zaira Martín Moldes,,
,Aliidiomarina haloalkalitolerans AK5,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Aliidiomarina iranensis GBPy7,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Alkaliphile, Halophile, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Aliidiomarina minuta JCM 17425,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: salt lake/soil,"Aerobe, Mesophile, haloalkaliphile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Aliidiomarina shirensis JCM 17761,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
,Aliidiomarina taiwanensis AIT1,"""Idiomarina: The genus is related to the genera Alteromonas, Pseudoalteromonas and Colwellia within the family Alteromonadaceae in the subclass c-Proteobacteria. Features that distinguish members of the genusIdiomarina from other marine bacteria are their high content of iso-branched fatty acids and their physiological properties, in particular their ability to grow within a broad range of temperatures, pH values and NaCl concentrations (Martı´nez-Ca´novas et al., 2004). All members of the genus Idiomarina possess characteristically high contents of iso-branched cellular fatty acids and have been isolated from saline environments""",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Halophile, Mesophile",Level 4,yes,Anna Douyon,,DNA delivery screen
668,Aliivibrio fischeri,"Bioluminescence, quorum sensing, and mechanisms that underlie beneficial host–microbe interactions",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: marine,"Aerobe, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
453835,Alishewanella aestuarii,Pectin degrading bacteria,Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability","Aquatic: marine, Soil","Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
545533,Alishewanella jeotgali,Pectin degrading bacteria,Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability","Aquatic: marine, Soil","Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
1581170,Alkalibacterium singaporenus,Potential source for pH-stable enzymes,Bacteria,Bacillota,Positive,1,Production,Aquatic: marine,"Aerobe, Alkaliphile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
286730,"Alkaliflexus
  imshenetskii",Potential source of enzymes for pretreatment of biomass for biofuel production in anaerobiosis,Bacteria,Bacteroidota,Negative,1,"Production, Sustainability","Extreme: soda lake, Lignocellulosic biomass","Alkaliphile, Anaerobe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
